[ unknown | 2025-10-22T02:39:03.052Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:39:03.077Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T02:39:03.077Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T02:39:03.079Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T02:39:03.079Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T02:39:03.079Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T02:39:03.080Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T02:39:03.099Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T02:39:03.099Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T02:39:03.105Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:39:04.552Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T02:39:04.554Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T02:39:04.584Z | 04f0b5e2-8d0e-465c-88c3-3983e6ec4a5d ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T02:39:04.584Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:39:04.587Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T02:39:04.845Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:39:04.846Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T02:39:04.847Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:39:05.117Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T02:39:05.184Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T02:39:05.198Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-22T02:39:05.248Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-22T02:39:05.264Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-22T02:39:05.297Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-22T02:39:05.346Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-22T02:39:05.495Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-22T02:39:06.798Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-22T02:39:06.798Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:39:06.847Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-22T02:39:06.906Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-22T02:39:07.181Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-22T02:39:07.219Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-22T02:39:07.219Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [DEBUG] [Percy] Snapshot skipped Logout flow: post logout state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:39:07.220Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:39:07.220Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:39:07.221Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T02:39:07.226Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T02:39:07.226Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:39:07.226Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [Metrics] Test duration recorded: 4120ms
[ unknown | 2025-10-22T02:39:07.226Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [Metrics] Gauge updated with duration: 4.12s
[ unknown | 2025-10-22T02:39:07.230Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T02:39:07.233Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T02:39:07.274Z | 0b0acb5e-0ca2-4231-a728-7110700d59e7 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
