[ unknown | 2025-10-22T23:25:18.531Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T23:25:18.557Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T23:25:18.558Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T23:25:18.559Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T23:25:18.559Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T23:25:18.560Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T23:25:18.560Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T23:25:18.580Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T23:25:18.580Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T23:25:18.586Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T23:25:20.955Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T23:25:20.957Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T23:25:20.988Z | 9de052d4-5432-4cd6-92d2-8d6cd002db6a ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T23:25:20.989Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T23:25:20.991Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T23:25:21.250Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T23:25:21.252Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T23:25:21.253Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T23:25:21.464Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T23:25:21.541Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T23:25:21.554Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-22T23:25:21.604Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-22T23:25:21.621Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-22T23:25:21.651Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-22T23:25:21.696Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-22T23:25:21.841Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-22T23:25:22.736Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-22T23:25:22.737Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T23:25:22.796Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-22T23:25:22.855Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-22T23:25:23.148Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-22T23:25:23.187Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-22T23:25:23.187Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [DEBUG] [Percy] Snapshot skipped Logout flow: post logout state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T23:25:23.189Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T23:25:23.190Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T23:25:23.190Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T23:25:23.196Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T23:25:23.197Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T23:25:23.197Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [Metrics] Test duration recorded: 4608ms
[ unknown | 2025-10-22T23:25:23.197Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [Metrics] Gauge updated with duration: 4.608s
[ unknown | 2025-10-22T23:25:23.201Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T23:25:23.204Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T23:25:23.242Z | 80b6cceb-3773-43f9-9d48-21b56e256408 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
