[ unknown | 2025-10-23T00:16:49.525Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-23T00:16:49.553Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-23T00:16:49.554Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-23T00:16:49.555Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-23T00:16:49.555Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-23T00:16:49.555Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-23T00:16:49.556Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-23T00:16:49.575Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-23T00:16:49.575Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-23T00:16:49.580Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-23T00:16:51.382Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-23T00:16:51.383Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-23T00:16:51.413Z | 64066451-592e-4fc9-824e-2480fcc90966 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-23T00:16:51.414Z | 7da2a7e2-25b1-4582-857a-3d49f345c4c1 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-23T00:16:51.417Z | 7da2a7e2-25b1-4582-857a-3d49f345c4c1 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-23T00:16:51.577Z | 7da2a7e2-25b1-4582-857a-3d49f345c4c1 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-23T00:16:51.579Z | 7da2a7e2-25b1-4582-857a-3d49f345c4c1 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-23T00:16:51.579Z | 7da2a7e2-25b1-4582-857a-3d49f345c4c1 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
