[ unknown | 2025-10-24T00:28:22.591Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T00:28:22.616Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-24T00:28:22.616Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-24T00:28:22.617Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-24T00:28:22.618Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-24T00:28:22.618Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-24T00:28:22.618Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-24T00:28:22.636Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-24T00:28:22.637Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-24T00:28:22.642Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T00:28:23.654Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-24T00:28:23.656Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-24T00:28:23.683Z | a1833835-0c02-45f2-b592-47e2b4060b48 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-24T00:28:23.684Z | c2e17a8c-d0a9-4312-86cc-d0043fb1d439 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-24T00:28:23.686Z | c2e17a8c-d0a9-4312-86cc-d0043fb1d439 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-24T00:28:23.974Z | c2e17a8c-d0a9-4312-86cc-d0043fb1d439 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-24T00:28:23.976Z | c2e17a8c-d0a9-4312-86cc-d0043fb1d439 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
