[ unknown | 2025-10-24T01:12:56.479Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T01:12:56.502Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-24T01:12:56.503Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-24T01:12:56.504Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-24T01:12:56.505Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-24T01:12:56.505Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-24T01:12:56.505Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-24T01:12:56.524Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-24T01:12:56.524Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-24T01:12:56.529Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T01:12:57.977Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-24T01:12:57.978Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-24T01:12:58.005Z | bc3e985d-c86e-4fb1-b7cd-51978c889a71 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-24T01:12:58.006Z | 79fe7328-bf4a-4757-99f1-b778dd6d92d7 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-24T01:12:58.008Z | 79fe7328-bf4a-4757-99f1-b778dd6d92d7 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-24T01:12:58.844Z | 79fe7328-bf4a-4757-99f1-b778dd6d92d7 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-24T01:12:58.846Z | 79fe7328-bf4a-4757-99f1-b778dd6d92d7 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-24T01:12:58.846Z | 79fe7328-bf4a-4757-99f1-b778dd6d92d7 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
