[ unknown | 2025-10-24T23:11:42.795Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T23:11:42.820Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-24T23:11:42.820Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-24T23:11:42.821Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-24T23:11:42.822Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-24T23:11:42.822Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-24T23:11:42.822Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-24T23:11:42.840Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-24T23:11:42.840Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-24T23:11:42.845Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T23:11:44.077Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-24T23:11:44.078Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-24T23:11:44.109Z | ae44c5f9-22c6-414c-b1e8-65567b232712 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-24T23:11:44.109Z | d38f1fdf-e8b5-4940-8537-0f1d3a2a3afa ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
