[ unknown | 2025-10-24T23:57:52.983Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T23:57:53.008Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-24T23:57:53.009Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-24T23:57:53.010Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-24T23:57:53.010Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-24T23:57:53.010Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-24T23:57:53.011Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-24T23:57:53.031Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-24T23:57:53.031Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-24T23:57:53.037Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-24T23:57:54.441Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-24T23:57:54.443Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-24T23:57:54.470Z | 4aa8da90-c598-4002-9b56-516189e0fb0e ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-24T23:57:54.471Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-24T23:57:54.473Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-24T23:57:54.721Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-24T23:57:54.723Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-24T23:57:54.723Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-24T23:57:54.873Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-24T23:57:54.913Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-24T23:57:54.929Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-24T23:57:54.975Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-24T23:57:54.991Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-24T23:57:55.020Z | d156d91f-f74d-4cd9-b158-bb315633b5a9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
