[ unknown | 2025-10-25T00:30:22.047Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T00:30:22.075Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T00:30:22.075Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T00:30:22.076Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T00:30:22.077Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T00:30:22.077Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T00:30:22.077Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T00:30:22.095Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T00:30:22.095Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T00:30:22.100Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T00:30:24.441Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T00:30:24.442Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T00:30:24.472Z | ed3c779b-ecf0-4958-b11d-bef528825d08 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-25T00:30:24.472Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-25T00:30:24.474Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-25T00:30:24.745Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-25T00:30:24.747Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-25T00:30:24.747Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T00:30:24.954Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-25T00:30:24.994Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-25T00:30:25.009Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-25T00:30:25.054Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-25T00:30:25.068Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-25T00:30:25.096Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-25T00:30:25.135Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-25T00:30:25.278Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-25T00:30:26.127Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-25T00:30:26.128Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T00:30:26.183Z | d578b1c8-bd73-4ef6-a162-ed4c0aa0a73b ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
