[ unknown | 2025-10-25T01:04:03.040Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:04:03.064Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T01:04:03.064Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T01:04:03.066Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T01:04:03.066Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T01:04:03.066Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T01:04:03.067Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T01:04:03.085Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T01:04:03.086Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T01:04:03.091Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:04:04.320Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T01:04:04.322Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T01:04:04.352Z | 71d94fab-31d2-4e07-ba07-a2a73272602f ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-25T01:04:04.353Z | b4a1ed9b-d216-4805-b154-91dc531def60 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-25T01:04:04.355Z | b4a1ed9b-d216-4805-b154-91dc531def60 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-25T01:04:05.193Z | b4a1ed9b-d216-4805-b154-91dc531def60 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
