[ unknown | 2025-10-25T01:13:36.841Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:13:36.866Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T01:13:36.866Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T01:13:36.867Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T01:13:36.868Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T01:13:36.868Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T01:13:36.868Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T01:13:36.886Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T01:13:36.886Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T01:13:36.892Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:13:38.152Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T01:13:38.153Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T01:13:38.184Z | 0696330d-3927-47b9-b1f9-5473210aa304 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-25T01:13:38.185Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-25T01:13:38.187Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-25T01:13:38.410Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-25T01:13:38.413Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-25T01:13:38.413Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T01:13:38.659Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-25T01:13:38.719Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-25T01:13:38.735Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-25T01:13:39.083Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-25T01:13:39.094Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-25T01:13:39.126Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-25T01:13:39.172Z | 59714a00-ea33-4f3c-8fbd-d59a8c842d97 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
