[ unknown | 2025-10-25T01:30:10.376Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:30:10.399Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T01:30:10.399Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T01:30:10.401Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T01:30:10.401Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T01:30:10.401Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T01:30:10.402Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T01:30:10.419Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T01:30:10.420Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T01:30:10.425Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:30:10.613Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T01:30:10.614Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T01:30:10.643Z | cd23dde1-ec34-4743-806e-f2464a29acda ] [INFO] [RemoteRunner] Page successfully initialized.
