[ unknown | 2025-10-25T01:32:54.665Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:32:54.692Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T01:32:54.692Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T01:32:54.693Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T01:32:54.694Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T01:32:54.694Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T01:32:54.694Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T01:32:54.714Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T01:32:54.715Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T01:32:54.720Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:32:56.585Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T01:32:56.587Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T01:32:56.615Z | 89e2a85a-1518-4b35-8992-a163ffcda7e3 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-25T01:32:56.616Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-25T01:32:56.618Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-25T01:32:56.788Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-25T01:32:56.790Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-25T01:32:56.790Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T01:32:56.998Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-25T01:32:57.047Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-25T01:32:57.061Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-25T01:32:57.105Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-25T01:32:57.115Z | 5a81dbea-405a-49c8-881e-6e46c20d80fe ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
