[ unknown | 2025-10-25T01:35:27.886Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:35:27.912Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-25T01:35:27.912Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-25T01:35:27.913Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-25T01:35:27.914Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-25T01:35:27.914Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-25T01:35:27.914Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-25T01:35:27.931Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-25T01:35:27.932Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-25T01:35:27.936Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-25T01:35:29.182Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-25T01:35:29.183Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-25T01:35:29.208Z | 6d192d55-9f88-4271-8d8d-016300b6eb05 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-25T01:35:29.209Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-25T01:35:29.211Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-25T01:35:29.695Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-25T01:35:29.697Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-25T01:35:29.697Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T01:35:29.844Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-25T01:35:29.898Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-25T01:35:29.915Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-25T01:35:29.960Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-25T01:35:29.973Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-25T01:35:30.002Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-25T01:35:30.037Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-25T01:35:30.180Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-25T01:35:31.482Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-25T01:35:31.482Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-25T01:35:31.520Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-25T01:35:31.579Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-25T01:35:31.855Z | a3d7340d-dd6c-46be-8854-2937c844fdb4 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
