[ unknown | 2025-10-26T18:54:55.645Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-26T18:54:55.669Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-26T18:54:55.669Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-26T18:54:55.670Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-26T18:54:55.671Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-26T18:54:55.671Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-26T18:54:55.671Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-26T18:54:55.690Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-26T18:54:55.691Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-26T18:54:55.696Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-26T18:54:57.324Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-26T18:54:57.326Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-26T18:54:57.354Z | 8361828b-b3b8-48c9-8e54-0ebea980e375 ] [INFO] [RemoteRunner] Page successfully initialized.
