[ unknown | 2025-10-26T18:59:50.222Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-26T18:59:50.246Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-26T18:59:50.247Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-26T18:59:50.248Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-26T18:59:50.248Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-26T18:59:50.249Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-26T18:59:50.249Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-26T18:59:50.267Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-26T18:59:50.267Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-26T18:59:50.272Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-26T18:59:52.782Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-26T18:59:52.784Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-26T18:59:52.811Z | d03fe318-f99c-4c39-af92-f9970d5c9c6c ] [INFO] [RemoteRunner] Page successfully initialized.
