[ unknown | 2025-10-28T01:31:22.845Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-28T01:31:22.869Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-28T01:31:22.869Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-28T01:31:22.870Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-28T01:31:22.871Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-28T01:31:22.871Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-28T01:31:22.871Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-28T01:31:22.890Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-28T01:31:22.890Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-28T01:31:22.896Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-28T01:31:24.204Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-28T01:31:24.205Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-28T01:31:24.232Z | d5daf962-2412-42f9-8352-bc451ec97358 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-28T01:31:24.233Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:31:24.235Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-28T01:31:24.597Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-28T01:31:24.599Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-28T01:31:24.764Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-28T01:31:24.864Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-28T01:31:24.881Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-28T01:31:24.927Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-28T01:31:24.942Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-28T01:31:24.971Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-28T01:31:25.020Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-28T01:31:25.164Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-28T01:31:26.462Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: 'Login Successful' was found in locator('li[role="status"] .font-semibold')
[ unknown | 2025-10-28T01:31:26.503Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-28T01:31:26.559Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-28T01:31:26.838Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-28T01:31:26.873Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-28T01:31:27.158Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:31:27.158Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-28T01:31:27.158Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-28T01:31:27.161Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-28T01:31:27.161Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:31:27.161Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [Metrics] Test duration recorded: 3983ms
[ unknown | 2025-10-28T01:31:27.162Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [Metrics] Gauge updated with duration: 3.983s
[ unknown | 2025-10-28T01:31:27.165Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-28T01:31:27.168Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-28T01:31:27.208Z | 00589ace-1393-4012-ba1d-051d18390f62 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
