[ unknown | 2025-10-28T01:48:28.703Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-28T01:48:28.728Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-28T01:48:28.729Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-28T01:48:28.730Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-28T01:48:28.731Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-28T01:48:28.731Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-28T01:48:28.731Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-28T01:48:28.748Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-28T01:48:28.748Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-28T01:48:28.753Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-28T01:48:29.859Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-28T01:48:29.860Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-28T01:48:29.885Z | 96c5866f-d4c8-4569-ba76-e8ef4a0aa545 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-28T01:48:29.886Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:48:29.888Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-28T01:48:30.127Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-28T01:48:30.128Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-28T01:48:30.302Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-28T01:48:30.389Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-28T01:48:30.403Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-28T01:48:30.448Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-28T01:48:30.461Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-28T01:48:30.490Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-28T01:48:30.531Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-28T01:48:30.680Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-28T01:48:31.979Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: 'Login Successful' was found in locator('li[role="status"] .font-semibold')
[ unknown | 2025-10-28T01:48:32.030Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-28T01:48:32.090Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-28T01:48:32.382Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-28T01:48:32.418Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-28T01:48:32.680Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:48:32.680Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-28T01:48:32.681Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-28T01:48:32.684Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-28T01:48:32.684Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-28T01:48:32.684Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [Metrics] Test duration recorded: 3670ms
[ unknown | 2025-10-28T01:48:32.684Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [Metrics] Gauge updated with duration: 3.67s
[ unknown | 2025-10-28T01:48:32.687Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-28T01:48:32.690Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-28T01:48:32.720Z | b82bf83b-9031-4fac-95aa-c9d707b8f55c ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
