[ unknown | 2025-10-29T23:16:08.195Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-29T23:16:08.223Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-29T23:16:08.223Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-29T23:16:08.224Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-29T23:16:08.225Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-29T23:16:08.225Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-29T23:16:08.225Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-29T23:16:08.243Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-29T23:16:08.243Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-29T23:16:08.249Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-29T23:16:09.450Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-29T23:16:09.451Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-29T23:16:09.481Z | b5e82e1d-c2ff-4f97-a4c4-980d5f96da7f ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-29T23:16:09.481Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-29T23:16:09.483Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-29T23:16:09.862Z | d146028f-558d-435c-876f-d36cff76f115 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-29T23:16:09.866Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-29T23:16:10.125Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-29T23:16:10.184Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-29T23:16:10.198Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-29T23:16:10.246Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-29T23:16:10.261Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-29T23:16:10.295Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-29T23:16:10.338Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-29T23:16:10.484Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-29T23:16:11.788Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: 'Login Successful' was found in locator('li[role="status"] .font-semibold')
[ unknown | 2025-10-29T23:16:11.854Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-29T23:16:11.912Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-29T23:16:12.189Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-29T23:16:12.227Z | d146028f-558d-435c-876f-d36cff76f115 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-29T23:16:12.517Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-29T23:16:12.517Z | d146028f-558d-435c-876f-d36cff76f115 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-29T23:16:12.518Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-29T23:16:12.521Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-29T23:16:12.521Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-29T23:16:12.521Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [Metrics] Test duration recorded: 3984ms
[ unknown | 2025-10-29T23:16:12.522Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [Metrics] Gauge updated with duration: 3.984s
[ unknown | 2025-10-29T23:16:12.526Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-29T23:16:12.529Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-29T23:16:12.569Z | d146028f-558d-435c-876f-d36cff76f115 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
