[ qa | 2025-11-23T23:24:56.604Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ qa | 2025-11-23T23:24:56.629Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Hooks] Deleted report directory: allure-results
[ qa | 2025-11-23T23:24:56.630Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ qa | 2025-11-23T23:24:56.631Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Hooks] Deleted report directory: test-results
[ qa | 2025-11-23T23:24:56.632Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Logger] Log file cleared and reset
[ qa | 2025-11-23T23:24:56.632Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ qa | 2025-11-23T23:24:56.632Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [Metrics] Metrics server started.
[ qa | 2025-11-23T23:24:56.653Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ qa | 2025-11-23T23:24:56.653Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ qa | 2025-11-23T23:24:56.658Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ qa | 2025-11-23T23:24:58.607Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ qa | 2025-11-23T23:24:58.608Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ qa | 2025-11-23T23:24:58.714Z | 07be56f6-4bd6-4f63-a9e4-ae29583fc1d3 ] [INFO] [RemoteRunner] Page successfully initialized.
[ qa | 2025-11-23T23:24:58.715Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validate successful login execution
[ qa | 2025-11-23T23:24:58.716Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ qa | 2025-11-23T23:24:59.797Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ qa | 2025-11-23T23:24:59.798Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ qa | 2025-11-23T23:25:00.036Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ qa | 2025-11-23T23:25:00.097Z | f16e46ef-ebe3-49c9-acf7-d22f88269640 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
