[ unknown | 2025-10-19T19:14:53.192Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:14:53.194Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:14:53.196Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:14:53.196Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:14:53.196Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:14:53.214Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:14:53.215Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:14:57.494Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:14:57.496Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:14:59.679Z | 989d43f6-7a71-4c69-b709-85f3feabd745 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:14:59.680Z | a1938aef-f963-4233-8d85-5d5d342e2ee9 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:14:59.682Z | a1938aef-f963-4233-8d85-5d5d342e2ee9 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:14:59.875Z | a1938aef-f963-4233-8d85-5d5d342e2ee9 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
