[ unknown | 2025-10-19T19:14:46.178Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:14:46.181Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:14:46.182Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:14:46.183Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:14:46.183Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:14:46.204Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:14:46.205Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:14:47.993Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:14:47.994Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:14:49.320Z | 03bc1e17-69ac-44fb-8bef-ae06e849456a ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:14:49.320Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:14:49.324Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:14:49.587Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:14:49.590Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T19:14:50.336Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T19:14:50.452Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T19:14:50.517Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T19:14:50.542Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T19:14:50.617Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T19:14:50.632Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T19:14:50.687Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T19:14:50.750Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T19:14:50.892Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T19:14:52.299Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T19:14:52.895Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T19:14:52.949Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T19:14:53.024Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T19:14:53.184Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T19:14:53.235Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T19:14:53.763Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T19:14:53.765Z | 632e7895-8597-452c-8ec5-2d77d6fed766 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
