[ unknown | 2025-10-19T19:33:41.836Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:33:41.839Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:33:41.840Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:33:41.841Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:33:41.841Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:33:41.860Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:33:41.861Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:33:43.405Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:33:43.406Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:33:43.518Z | 38c46edf-4200-412c-beaa-2c1f881afb2b ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:33:43.519Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:33:43.523Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:33:45.607Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:33:45.610Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T19:33:46.385Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T19:33:46.492Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T19:33:46.562Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T19:33:46.581Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T19:33:46.644Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T19:33:46.660Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T19:33:46.708Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T19:33:46.757Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T19:33:46.908Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T19:33:48.211Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T19:33:48.682Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T19:33:48.739Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T19:33:48.796Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T19:33:49.074Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T19:33:49.110Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T19:33:49.577Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T19:33:49.579Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:33:49.579Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:33:49.579Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T19:33:49.583Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T19:33:49.584Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:33:49.596Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T19:33:49.599Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T19:33:49.734Z | 402a444a-fc6a-4db1-81a1-062e97780d56 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
