[ unknown | 2025-10-19T19:34:05.046Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:34:05.049Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:34:05.050Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:34:05.051Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:34:05.051Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:34:05.072Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:34:05.072Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:34:05.982Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:34:05.984Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:34:06.102Z | 565ca2cb-ee47-4ee5-b2f7-544806ef9c34 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:34:06.102Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:34:06.105Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:34:07.492Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:34:07.498Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T19:34:08.314Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T19:34:08.416Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T19:34:08.470Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T19:34:08.488Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T19:34:08.552Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T19:34:08.569Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T19:34:08.618Z | 4f29f727-3f08-450b-8925-0b3bf66a7e29 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
