[ unknown | 2025-10-19T19:34:30.341Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:34:30.344Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:34:30.345Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:34:30.346Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:34:30.346Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:34:30.367Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:34:30.367Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:34:34.201Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:34:34.202Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:34:34.315Z | f8efd589-1fa3-4758-87d4-f46e969ecc07 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:34:34.316Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:34:34.318Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:34:37.511Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:34:37.518Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T19:34:38.757Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T19:34:38.879Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T19:34:38.941Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T19:34:38.962Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T19:34:39.028Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T19:34:39.062Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T19:34:39.107Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T19:34:39.161Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T19:34:39.315Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T19:34:40.199Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T19:34:40.677Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T19:34:40.725Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T19:34:40.781Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T19:34:41.061Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T19:34:41.111Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T19:34:41.598Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T19:34:41.600Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:34:41.600Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:34:41.601Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T19:34:41.610Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T19:34:41.610Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:34:41.623Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T19:34:41.628Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T19:34:41.966Z | d8bae183-304b-42c6-b72f-d915469ebd65 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
