[ unknown | 2025-10-19T19:57:40.514Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T19:57:40.517Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T19:57:40.518Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T19:57:40.519Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T19:57:40.519Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T19:57:40.539Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T19:57:40.539Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T19:57:42.106Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T19:57:42.107Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T19:57:42.246Z | 88c38cfd-517b-4387-b7e7-9a188f53df80 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T19:57:42.246Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T19:57:42.249Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T19:57:43.516Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T19:57:43.519Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T19:57:44.386Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T19:57:44.490Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T19:57:44.565Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T19:57:44.578Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T19:57:44.641Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T19:57:44.658Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T19:57:44.706Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T19:57:44.754Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T19:57:44.902Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T19:57:46.211Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T19:57:46.753Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T19:57:46.819Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T19:57:46.885Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T19:57:47.173Z | bf057775-8ca5-45ca-a37c-bac0ee507e04 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
