[ unknown | 2025-10-19T20:05:23.897Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T20:05:23.900Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T20:05:23.901Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T20:05:23.901Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T20:05:23.902Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T20:05:23.922Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T20:05:23.922Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T20:05:26.430Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T20:05:26.432Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T20:05:26.564Z | d512111d-6aee-470a-94bf-7d51fadd7f30 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T20:05:26.565Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:26.567Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T20:05:28.235Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:05:28.237Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T20:05:29.035Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T20:05:29.137Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T20:05:29.198Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T20:05:29.222Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T20:05:29.286Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T20:05:29.302Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T20:05:29.351Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T20:05:29.402Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T20:05:29.544Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T20:05:30.848Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T20:05:31.361Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T20:05:31.418Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T20:05:31.475Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T20:05:31.754Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T20:05:31.788Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T20:05:32.285Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T20:05:32.286Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:32.287Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:05:32.287Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T20:05:32.291Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T20:05:32.291Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:32.309Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T20:05:32.316Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T20:05:32.453Z | 4347f598-c09b-47d5-b4bd-a8a7a8c0122a ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
