[ unknown | 2025-10-19T20:05:40.985Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T20:05:40.987Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T20:05:40.989Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T20:05:40.989Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T20:05:40.990Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T20:05:41.022Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T20:05:41.022Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T20:05:43.994Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T20:05:43.996Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T20:05:44.148Z | eb13c918-8059-4e47-86e7-03022a61c47f ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T20:05:44.148Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:44.151Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T20:05:45.660Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:05:45.663Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T20:05:46.430Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T20:05:46.533Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T20:05:46.595Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T20:05:46.614Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T20:05:46.684Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T20:05:46.702Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T20:05:46.762Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T20:05:46.822Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T20:05:46.980Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T20:05:47.899Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T20:05:48.446Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T20:05:48.494Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T20:05:48.576Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T20:05:48.864Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T20:05:48.907Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T20:05:49.434Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T20:05:49.436Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:49.436Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:05:49.437Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T20:05:49.442Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T20:05:49.442Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:05:49.455Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T20:05:49.462Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T20:05:49.654Z | 83b91bc7-5cc9-4c32-93f7-18e411c561f9 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
