[ unknown | 2025-10-19T20:36:23.155Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T20:36:23.157Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T20:36:23.158Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T20:36:23.159Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T20:36:23.159Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T20:36:23.177Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T20:36:23.177Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T20:36:24.632Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T20:36:24.633Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T20:36:24.827Z | c1c24862-7046-4513-995d-ca1ffe2eec50 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T20:36:24.828Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:36:24.831Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T20:36:27.680Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:36:27.682Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T20:36:28.550Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T20:36:28.650Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T20:36:28.697Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T20:36:28.717Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T20:36:28.778Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T20:36:28.792Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T20:36:28.837Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T20:36:28.896Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T20:36:29.046Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T20:36:30.852Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T20:36:31.373Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T20:36:31.429Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T20:36:31.485Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T20:36:31.746Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T20:36:31.782Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T20:36:32.262Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T20:36:32.264Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:36:32.264Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:36:32.264Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T20:36:32.270Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T20:36:32.270Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:36:32.279Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T20:36:32.283Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T20:36:32.598Z | e33c298d-e917-4410-8de5-24a075f532a8 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
