[ unknown | 2025-10-19T20:37:37.673Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T20:37:37.675Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T20:37:37.677Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T20:37:37.677Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T20:37:37.678Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T20:37:37.698Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T20:37:37.698Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T20:37:39.405Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T20:37:39.407Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T20:37:39.559Z | bb62ad30-6708-4571-bb7d-4747e1220853 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T20:37:39.560Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:37:39.564Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T20:37:41.126Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:37:41.129Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T20:37:41.983Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T20:37:42.085Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T20:37:42.144Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T20:37:42.166Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T20:37:42.226Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T20:37:42.239Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T20:37:42.288Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T20:37:42.350Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T20:37:42.512Z | 6005c4d3-f968-41a5-b2e3-4bfd43765cd7 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
