[ unknown | 2025-10-19T20:59:30.546Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T20:59:30.549Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T20:59:30.550Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T20:59:30.551Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T20:59:30.551Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T20:59:30.577Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T20:59:30.577Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T20:59:34.277Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T20:59:34.278Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T20:59:34.389Z | ede1ed73-bf44-45c0-9068-e28435047b9c ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T20:59:34.390Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T20:59:34.393Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T20:59:37.309Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T20:59:37.312Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T20:59:38.170Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T20:59:38.262Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T20:59:38.311Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T20:59:38.336Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T20:59:38.407Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T20:59:38.421Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T20:59:38.469Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T20:59:38.526Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T20:59:38.679Z | 251cfc3c-04fd-4989-abd3-080cdbc11c76 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
