[ unknown | 2025-10-19T21:00:30.800Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T21:00:30.803Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T21:00:30.804Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T21:00:30.805Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T21:00:30.805Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T21:00:30.825Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T21:00:30.826Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T21:00:32.549Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T21:00:32.550Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T21:00:32.680Z | a318335f-e5e8-4df6-8742-0e2ddd1054fc ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T21:00:32.681Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T21:00:32.685Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T21:00:34.529Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T21:00:34.533Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T21:00:35.526Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T21:00:35.619Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T21:00:35.685Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T21:00:35.703Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T21:00:35.766Z | 97f22c0d-36fa-4ceb-8ac2-60265ac2680d ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
