[ unknown | 2025-10-19T21:01:11.195Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T21:01:11.198Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T21:01:11.199Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T21:01:11.200Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T21:01:11.200Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T21:01:11.220Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T21:01:11.220Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T21:01:14.274Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T21:01:14.275Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T21:01:14.418Z | ef13cd2e-eb51-4bb9-b54a-04731fec927b ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T21:01:14.419Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T21:01:14.421Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T21:01:16.513Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T21:01:16.517Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T21:01:17.375Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T21:01:17.470Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T21:01:17.535Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T21:01:17.552Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T21:01:17.618Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-19T21:01:17.633Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-19T21:01:17.681Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-19T21:01:17.735Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-19T21:01:17.897Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-19T21:01:19.200Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-19T21:01:19.741Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-19T21:01:19.800Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-19T21:01:19.860Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-19T21:01:20.151Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-19T21:01:20.189Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-19T21:01:20.805Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-19T21:01:20.807Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T21:01:20.808Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T21:01:20.808Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-19T21:01:20.812Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-19T21:01:20.812Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-19T21:01:20.824Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-19T21:01:20.829Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-19T21:01:20.995Z | 76ffb5d1-22d8-491a-9d2f-a971e77b7d86 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
