[ unknown | 2025-10-19T22:14:53.593Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T22:14:53.596Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T22:14:53.597Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T22:14:53.597Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T22:14:53.598Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T22:14:53.618Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T22:14:53.618Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T22:14:53.851Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T22:14:53.853Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T22:14:53.994Z | 595c33b4-e3f0-45a4-bdcb-ad32d1e4f4ad ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T22:14:53.995Z | 256455e2-8ad0-436b-a427-a19e177dc59c ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-19T22:14:53.998Z | 256455e2-8ad0-436b-a427-a19e177dc59c ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T22:14:54.346Z | 256455e2-8ad0-436b-a427-a19e177dc59c ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T22:14:54.349Z | 256455e2-8ad0-436b-a427-a19e177dc59c ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
