[ unknown | 2025-10-19T22:15:13.519Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T22:15:13.522Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T22:15:13.523Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T22:15:13.523Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T22:15:13.523Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T22:15:13.544Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T22:15:13.545Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T22:15:13.797Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T22:15:13.799Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T22:15:13.915Z | dbca60cf-7a8a-4144-8e37-74369743d50e ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T22:15:13.917Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-19T22:15:13.920Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T22:15:14.264Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T22:15:14.267Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T22:15:15.024Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T22:15:15.156Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T22:15:15.242Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T22:15:15.281Z | 84bf2005-f653-4515-bdd6-55c6e33030f0 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
