[ unknown | 2025-10-19T22:16:17.529Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-19T22:16:17.531Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-19T22:16:17.532Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-19T22:16:17.533Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-19T22:16:17.533Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-19T22:16:17.554Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-19T22:16:17.554Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-19T22:16:17.781Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-19T22:16:17.782Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-19T22:16:17.884Z | 554125c1-d93e-4b4c-a15e-f692027b24cd ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-19T22:16:17.886Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-19T22:16:17.889Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-19T22:16:18.233Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-19T22:16:18.236Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-19T22:16:18.915Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-19T22:16:19.033Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-19T22:16:19.106Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-19T22:16:19.143Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-19T22:16:19.245Z | 134175b1-69a1-4b62-a339-7d067eb3ab84 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
