[ unknown | 2025-10-20T00:03:11.284Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:03:11.286Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:03:11.287Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:03:11.288Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:03:11.288Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:03:11.307Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:03:11.308Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:03:11.539Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:03:11.542Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:03:11.750Z | fa662b71-8473-48c8-a822-b2ebb0d1fc05 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:03:11.751Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:03:11.754Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:03:12.095Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:03:12.101Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:03:12.835Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:03:12.970Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:03:13.041Z | f46e3b2a-1a63-45a7-a1c8-95ed7802dcb6 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
