[ unknown | 2025-10-20T00:04:03.516Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:04:03.518Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:04:03.519Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:04:03.519Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:04:03.520Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:04:03.540Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:04:03.540Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:04:03.786Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:04:03.788Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:04:03.893Z | b36b2413-9b56-4225-9655-2dca8fec7cc0 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:04:03.894Z | 389c329f-28ff-4cb0-a3e7-1a41fbdd0156 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:04:03.897Z | 389c329f-28ff-4cb0-a3e7-1a41fbdd0156 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:04:04.271Z | 389c329f-28ff-4cb0-a3e7-1a41fbdd0156 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:04:04.273Z | 389c329f-28ff-4cb0-a3e7-1a41fbdd0156 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:04:05.046Z | 389c329f-28ff-4cb0-a3e7-1a41fbdd0156 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
