[ unknown | 2025-10-20T00:02:12.367Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:02:12.370Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:02:12.371Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:02:12.371Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:02:12.371Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:02:12.390Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:02:12.391Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:02:12.613Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:02:12.614Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:02:12.715Z | 8adb2a86-9fa3-4cda-95b9-66a06020eddf ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:02:12.716Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:02:12.719Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:02:13.125Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:02:13.128Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:02:13.913Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:02:14.033Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:02:14.107Z | 33e47a5b-2e0d-4359-b9a6-4d26dc447642 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
