[ unknown | 2025-10-20T00:28:55.331Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:28:55.334Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:28:55.335Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:28:55.335Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:28:55.335Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:28:55.357Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:28:55.357Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:28:55.597Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:28:55.598Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:28:55.792Z | 382b7ceb-c561-4f1f-a5a3-477b720344b4 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:28:55.793Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:28:55.796Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:28:56.161Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:28:56.164Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:28:56.766Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:28:56.882Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:28:56.960Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-20T00:28:57.008Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-20T00:28:57.110Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-20T00:28:57.134Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-20T00:28:57.223Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-20T00:28:57.293Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-20T00:28:57.469Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-20T00:28:58.415Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-20T00:28:58.948Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-20T00:28:58.948Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [LighthouseExecutor] Starting basic Lighthouse audit for: https://valentinos-magic-beans.click/
[ unknown | 2025-10-20T00:28:58.958Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [LighthouseExecutor] Lighthouse audit completed successfully.
[ unknown | 2025-10-20T00:28:59.035Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-20T00:28:59.122Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-20T00:28:59.301Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-20T00:28:59.371Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-20T00:28:59.938Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-20T00:28:59.939Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:28:59.940Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:28:59.940Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-20T00:28:59.951Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-20T00:28:59.951Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:28:59.962Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-20T00:28:59.976Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-20T00:29:00.504Z | dc070385-4165-4d8d-a68d-75ccf6d4b5ab ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
