[ unknown | 2025-10-20T00:30:17.274Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:30:17.276Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:30:17.277Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:30:17.277Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:30:17.278Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:30:17.298Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:30:17.298Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:30:17.532Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:30:17.534Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:30:17.636Z | 183e8448-59c2-4467-af88-571bdf59ff35 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:30:17.639Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:30:17.642Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:30:18.034Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:30:18.037Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:30:18.716Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:30:18.843Z | cd88a0f1-b8aa-43db-ade0-f960939b8155 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
