[ unknown | 2025-10-20T00:30:27.342Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:30:27.345Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:30:27.345Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:30:27.346Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:30:27.346Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:30:27.365Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:30:27.366Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:30:27.599Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:30:27.601Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:30:27.797Z | 91d46c86-52c8-4e1c-b2b0-fd5e228bee1b ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:30:27.798Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:30:27.802Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:30:28.077Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:30:28.080Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:30:28.774Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:30:28.895Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:30:28.963Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-20T00:30:28.994Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-20T00:30:29.091Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-20T00:30:29.120Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-20T00:30:29.194Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-20T00:30:29.259Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-20T00:30:29.439Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-20T00:30:30.301Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-20T00:30:30.828Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-20T00:30:30.828Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [LighthouseExecutor] Starting basic Lighthouse audit for: https://valentinos-magic-beans.click/
[ unknown | 2025-10-20T00:30:30.835Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [LighthouseExecutor] Lighthouse audit completed successfully.
[ unknown | 2025-10-20T00:30:30.904Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-20T00:30:30.976Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-20T00:30:31.257Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-20T00:30:31.330Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-20T00:30:31.852Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-20T00:30:31.854Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:30:31.854Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:30:31.855Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-20T00:30:31.866Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-20T00:30:31.867Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com Lighthouse
[ unknown | 2025-10-20T00:30:31.875Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-20T00:30:31.879Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-20T00:30:32.410Z | 8f834807-e104-4c47-9b92-d2d86f27b4bf ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
