[ unknown | 2025-10-20T00:49:38.895Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:49:38.898Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:49:38.898Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:49:38.899Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:49:38.899Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:49:38.919Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:49:38.919Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:49:39.174Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:49:39.175Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:49:39.284Z | 815db2a4-34c0-4e32-b622-93d822366c21 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:49:39.285Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-20T00:49:39.288Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:49:39.616Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:49:39.620Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:49:40.308Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:49:40.431Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:49:40.514Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-20T00:49:40.547Z | f013d1a6-e9f3-4741-bf47-33af42268d07 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
