[ unknown | 2025-10-20T00:50:00.698Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-20T00:50:00.702Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-20T00:50:00.703Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-20T00:50:00.703Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-20T00:50:00.703Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-20T00:50:00.729Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-20T00:50:00.730Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-20T00:50:00.970Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-20T00:50:00.972Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-20T00:50:01.185Z | 5bae632f-b5c2-468a-a00b-4692934aae13 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-20T00:50:01.186Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-20T00:50:01.189Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-20T00:50:01.474Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:50:01.478Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-20T00:50:02.219Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-20T00:50:02.349Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-20T00:50:02.426Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-20T00:50:02.459Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-20T00:50:02.566Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-20T00:50:02.597Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-20T00:50:02.667Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-20T00:50:02.735Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-20T00:50:02.902Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-20T00:50:03.769Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-20T00:50:04.308Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-20T00:50:04.308Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [LighthouseExecutor] Starting basic Lighthouse audit for: https://valentinos-magic-beans.click/
[ unknown | 2025-10-20T00:50:04.318Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [LighthouseExecutor] Lighthouse audit completed successfully.
[ unknown | 2025-10-20T00:50:04.391Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-20T00:50:04.487Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-20T00:50:04.762Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-20T00:50:04.827Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-20T00:50:05.374Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-20T00:50:05.376Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-20T00:50:05.376Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-20T00:50:05.376Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-20T00:50:05.389Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-20T00:50:05.389Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-20T00:50:05.396Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-20T00:50:05.409Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-20T00:50:05.950Z | 46feceda-cd7b-4390-9cf2-7755fa2cab2c ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
