Metrics server running on http://localhost:9464/metrics
[ unknown | 2025-10-21T23:33:13.315Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-21T23:33:13.318Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-21T23:33:13.319Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-21T23:33:13.320Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-21T23:33:13.320Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-21T23:33:13.320Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-21T23:33:13.353Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-21T23:33:13.353Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [RemoteRunner] Launching local Chromium instance...
Metrics server running on http://localhost:9464/metrics
[ unknown | 2025-10-21T23:33:13.449Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-21T23:33:13.450Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-21T23:33:13.491Z | 2288c0af-d256-4bad-be64-5d4eaaa0da78 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-21T23:33:13.492Z | 17149033-4acb-4622-97ca-ed4076405101 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-21T23:33:13.494Z | 17149033-4acb-4622-97ca-ed4076405101 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-21T23:33:13.744Z | 17149033-4acb-4622-97ca-ed4076405101 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-21T23:33:13.746Z | 17149033-4acb-4622-97ca-ed4076405101 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-21T23:33:14.415Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-21T23:33:14.548Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-21T23:33:14.610Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-21T23:33:14.637Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-21T23:33:14.719Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-21T23:33:14.744Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-21T23:33:14.812Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-21T23:33:14.875Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-21T23:33:15.039Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-21T23:33:15.944Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-21T23:33:16.451Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-21T23:33:16.452Z | 17149033-4acb-4622-97ca-ed4076405101 ] [INFO] [LighthouseExecutor] Starting basic Lighthouse audit for: https://valentinos-magic-beans.click/
[ unknown | 2025-10-21T23:33:16.462Z | 17149033-4acb-4622-97ca-ed4076405101 ] [INFO] [LighthouseExecutor] Lighthouse audit completed successfully.
[ unknown | 2025-10-21T23:33:16.533Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-21T23:33:16.613Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-21T23:33:16.799Z | 17149033-4acb-4622-97ca-ed4076405101 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
