[ unknown | 2025-10-22T01:33:32.965Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:33:32.994Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T01:33:32.995Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T01:33:32.996Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T01:33:32.996Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T01:33:32.996Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T01:33:32.997Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T01:33:33.015Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T01:33:33.016Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T01:33:33.021Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:33:33.110Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T01:33:33.112Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T01:33:33.147Z | 5890f027-eb10-4fd5-b277-395fc1330db9 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T01:33:33.148Z | 34ecf127-1297-40ca-951b-65c338249938 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T01:33:33.151Z | 34ecf127-1297-40ca-951b-65c338249938 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T01:33:33.408Z | 34ecf127-1297-40ca-951b-65c338249938 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T01:33:33.411Z | 34ecf127-1297-40ca-951b-65c338249938 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T01:33:34.137Z | 34ecf127-1297-40ca-951b-65c338249938 ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-22T01:33:34.262Z | 34ecf127-1297-40ca-951b-65c338249938 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T01:33:34.323Z | 34ecf127-1297-40ca-951b-65c338249938 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T01:33:34.344Z | 34ecf127-1297-40ca-951b-65c338249938 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
