[ unknown | 2025-10-22T01:46:26.061Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:46:26.099Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T01:46:26.099Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T01:46:26.101Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T01:46:26.101Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T01:46:26.101Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T01:46:26.102Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T01:46:26.123Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T01:46:26.123Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T01:46:26.128Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:46:27.469Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T01:46:27.471Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T01:46:27.516Z | 395982a4-a0ab-4b9b-8709-0664480a2a3c ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T01:46:27.517Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T01:46:27.520Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T01:46:27.751Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T01:46:27.753Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T01:46:28.505Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [Percy] Snapshot captured Login flow: initial state
[ unknown | 2025-10-22T01:46:28.598Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T01:46:28.655Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T01:46:28.677Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-22T01:46:28.728Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-22T01:46:28.739Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-22T01:46:28.773Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-22T01:46:28.829Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-22T01:46:28.974Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-22T01:46:30.281Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-22T01:46:30.801Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [Percy] Snapshot captured Login flow: home after success
[ unknown | 2025-10-22T01:46:30.862Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-22T01:46:30.930Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-22T01:46:31.214Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-22T01:46:31.249Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-22T01:46:31.754Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [DEBUG] [Percy] Snapshot captured Logout flow: post logout state
[ unknown | 2025-10-22T01:46:31.756Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T01:46:31.756Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T01:46:31.756Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T01:46:31.761Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T01:46:31.761Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T01:46:31.761Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [Metrics] Test duration recorded: 5632ms
[ unknown | 2025-10-22T01:46:31.762Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [Metrics] Gauge updated with duration: 5.632s
[ unknown | 2025-10-22T01:46:31.771Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T01:46:31.775Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T01:46:31.808Z | 499e8808-b1b1-4112-9347-bb2e30b0e3df ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
