[ unknown | 2025-10-22T01:55:41.010Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:55:41.036Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T01:55:41.037Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T01:55:41.038Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T01:55:41.038Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T01:55:41.038Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T01:55:41.038Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T01:55:41.058Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T01:55:41.058Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T01:55:41.064Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T01:55:41.139Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T01:55:41.140Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T01:55:41.173Z | 8869922f-480b-4822-a429-91abd1c89ea6 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T01:55:41.173Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T01:55:41.175Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T01:55:41.489Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T01:55:41.491Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T01:55:41.491Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T01:55:41.699Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T01:55:41.817Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T01:55:41.844Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-22T01:55:41.915Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-22T01:55:41.939Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-22T01:55:41.990Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-22T01:55:42.046Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-22T01:55:42.215Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-22T01:55:43.553Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-22T01:55:43.554Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T01:55:43.554Z | a24db212-90e4-4228-96e8-15c162e92ef5 ] [INFO] [LighthouseExecutor] Starting basic Lighthouse audit for: https://valentinos-magic-beans.click/
