[ unknown | 2025-10-22T02:01:48.563Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:01:48.589Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T02:01:48.589Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T02:01:48.590Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T02:01:48.590Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T02:01:48.590Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T02:01:48.591Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T02:01:48.611Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T02:01:48.611Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T02:01:48.616Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:01:48.689Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T02:01:48.690Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T02:01:48.721Z | 997ed364-25d6-409b-87ab-98b7626d1b1b ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T02:01:48.722Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:01:48.725Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T02:01:48.966Z | 616f3240-1a44-4d5a-9c17-78f7820fca70 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
