[ unknown | 2025-10-22T02:09:56.436Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:09:56.464Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T02:09:56.465Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T02:09:56.466Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T02:09:56.466Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T02:09:56.466Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T02:09:56.467Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T02:09:56.486Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T02:09:56.486Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T02:09:56.491Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:09:56.562Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T02:09:56.564Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T02:09:56.594Z | 718cd257-b5d4-44a2-868e-e92dd40dd613 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T02:09:56.595Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com lighthouse
[ unknown | 2025-10-22T02:09:56.597Z | 2a2dca63-b228-4e16-bb76-0130877f0da2 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
