[ unknown | 2025-10-22T02:20:47.169Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:20:47.194Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T02:20:47.194Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T02:20:47.195Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T02:20:47.196Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T02:20:47.196Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T02:20:47.196Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T02:20:47.215Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T02:20:47.216Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T02:20:47.221Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:20:48.861Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T02:20:48.862Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T02:20:48.890Z | cb4e27c6-3e1e-495a-a85e-012113e7f483 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T02:20:48.891Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:20:48.893Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T02:20:49.053Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:20:49.055Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T02:20:49.055Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:20:49.295Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T02:20:49.357Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
[ unknown | 2025-10-22T02:20:49.371Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-email-input"]') is visible.
[ unknown | 2025-10-22T02:20:49.720Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-email-input"]')
[ unknown | 2025-10-22T02:20:49.731Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-password-input"]') is visible.
[ unknown | 2025-10-22T02:20:49.762Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Text input completed on locator('[data-test-id="login-password-input"]')
[ unknown | 2025-10-22T02:20:49.809Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="login-submit-button"]') is clickable.
[ unknown | 2025-10-22T02:20:49.945Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="login-submit-button"]')
[ unknown | 2025-10-22T02:20:51.243Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('li[role="status"] .font-semibold') contains expected text.
[ unknown | 2025-10-22T02:20:51.243Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [Percy] Snapshot skipped Login flow: home after success (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:20:51.293Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('button:has(svg.lucide-user)') is clickable.
[ unknown | 2025-10-22T02:20:51.352Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Click action performed on locator('button:has(svg.lucide-user)')
[ unknown | 2025-10-22T02:20:51.627Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [CustomAsserts] Assertion passed: locator('text=Log out') is clickable.
[ unknown | 2025-10-22T02:20:51.664Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [ElementActions] Click action performed on locator('text=Log out')
[ unknown | 2025-10-22T02:20:51.665Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [DEBUG] [Percy] Snapshot skipped Logout flow: post logout state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:20:51.666Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [Hooks] Test ended: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:20:51.666Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [WARN] [Azure] Failed to publish test result: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:20:51.666Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [BrowserStackStatus] Determined status: passed | Reason: Test passed
[ unknown | 2025-10-22T02:20:51.669Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [BrowserStackStatus] Session status updated: passed
[ unknown | 2025-10-22T02:20:51.669Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [BrowserStackStatus] Status updated for test: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:20:51.669Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [Metrics] Test duration recorded: 4450ms
[ unknown | 2025-10-22T02:20:51.670Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [Metrics] Gauge updated with duration: 4.45s
[ unknown | 2025-10-22T02:20:51.674Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [Hooks] Page instance closed.
[ unknown | 2025-10-22T02:20:51.677Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [RemoteRunner] Initiating browser context shutdown...
[ unknown | 2025-10-22T02:20:51.722Z | ddb1f57b-0703-49f5-b632-38848ae357b9 ] [INFO] [RemoteRunner] Browser context and instance successfully terminated.
