[ unknown | 2025-10-22T02:31:14.418Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:31:14.442Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Hooks] Deleted report directory: allure-results
[ unknown | 2025-10-22T02:31:14.442Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Hooks] Deleted report directory: playwright-report
[ unknown | 2025-10-22T02:31:14.443Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Hooks] Deleted report directory: test-results
[ unknown | 2025-10-22T02:31:14.444Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Logger] Log file cleared and reset
[ unknown | 2025-10-22T02:31:14.444Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Hooks] Log file cleared and test environment initialized.
[ unknown | 2025-10-22T02:31:14.444Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [Metrics] Metrics server started.
[ unknown | 2025-10-22T02:31:14.463Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [RemoteRunner] Test execution mode: Local (Chromium).
[ unknown | 2025-10-22T02:31:14.464Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [RemoteRunner] Launching local Chromium instance...
[ unknown | 2025-10-22T02:31:14.469Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [MetricsServer] Server running at http://localhost:9464/metrics
[ unknown | 2025-10-22T02:31:15.651Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [RemoteRunner] Local browser context successfully established.
[ unknown | 2025-10-22T02:31:15.652Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [RemoteRunner] Opening new page within browser context...
[ unknown | 2025-10-22T02:31:15.679Z | 9c39dd45-3285-4f7c-942a-261e60c204c8 ] [INFO] [RemoteRunner] Page successfully initialized.
[ unknown | 2025-10-22T02:31:15.680Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [INFO] [Hooks] Test started: @PLAN_ID=xxxx @SUITE_ID=xxxx @[xxxx] Validar a efetuação do login com sucesso
[ unknown | 2025-10-22T02:31:15.682Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [INFO] [YamlReader] Environment URL 'qa' successfully retrieved from YAML
[ unknown | 2025-10-22T02:31:15.864Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [WARN] [Azure] Failed to activate test case: Missing metadata in test title. Expected format: @PLAN_ID=xxx @SUITE_ID=xxx @[testCaseId]
[ unknown | 2025-10-22T02:31:15.866Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [INFO] [YamlReader] YAML block 'valid_user' successfully loaded
[ unknown | 2025-10-22T02:31:15.866Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [DEBUG] [Percy] Snapshot skipped Login flow: initial state (ENABLE_PERCY is not true)
[ unknown | 2025-10-22T02:31:16.070Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [DEBUG] [CustomAsserts] Assertion passed: locator('[data-test-id="header-login-button-desktop"]') is clickable.
[ unknown | 2025-10-22T02:31:16.121Z | 6ff8470a-ea84-4d0b-9b2e-234cf6ee917d ] [DEBUG] [ElementActions] Click action performed on locator('[data-test-id="header-login-button-desktop"]')
